Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10013783	24	scaffold1409	123560	154776	-1
CGI_10022372	24	scaffold1710	602742	700546	1
CGI_10018592	22	scaffold247	138499	148449	1
CGI_10006142	21	scaffold1656	45907	74911	-1
CGI_10004002	20	scaffold40282	55091	83549	1
CGI_10022093	18	scaffold394	548658	560561	1
CGI_10012796	17	scaffold1237	200980	293560	1
CGI_10025876	17	scaffold733	407619	548638	1
CGI_10027815	17	scaffold198	531542	554203	1
CGI_10017800	15	scaffold1518	209347	219718	1
CGI_10006476	14	scaffold42246	61481	100048	-1
CGI_10007083	14	scaffold242	74832	84666	1
CGI_10027183	14	scaffold1599	1163879	1191199	1
CGI_10011828	13	scaffold1235	16837	35725	-1
CGI_10012317	12	scaffold477	196136	223156	-1
CGI_10014023	12	scaffold983	15962	18259	1
CGI_10026457	12	scaffold100	802879	806686	1
CGI_10027225	12	scaffold481	564527	581694	-1
CGI_10005250	11	scaffold1817	9897	45966	-1
CGI_10006223	11	scaffold200	27354	40232	1
CGI_10006249	11	scaffold42144	125947	143095	1
CGI_10006698	11	scaffold42326	118399	155714	-1
CGI_10011254	11	scaffold230	249649	284875	-1
CGI_10020054	11	scaffold258	267818	271064	-1
CGI_10004502	10	scaffold40828	27348	61048	1
CGI_10009372	10	scaffold993	19420	32135	-1
CGI_10009387	10	scaffold521	108014	132801	1
CGI_10009807	10	scaffold1204	59148	68801	-1
CGI_10009863	10	scaffold1663	14275	34810	-1
CGI_10017801	10	scaffold1518	212842	214237	-1
CGI_10024166	10	scaffold485	425971	453235	1
CGI_10028723	10	scaffold1009	246787	272005	-1
CGI_10004826	9	scaffold178	58024	93952	-1
CGI_10006246	9	scaffold42144	8140	67657	1
CGI_10006286	9	scaffold1166	63536	84545	1
CGI_10007573	9	scaffold879	83884	130121	-1
CGI_10012536	9	scaffold43798	709	51895	-1
CGI_10013340	9	scaffold1894	214043	252780	1
CGI_10014025	9	scaffold983	17332	29028	1
CGI_10018162	9	scaffold236	506625	528982	-1
CGI_10019155	9	scaffold942	166859	210633	1
CGI_10019846	9	scaffold563	541480	589820	1
CGI_10022391	9	scaffold541	373407	388637	-1
CGI_10023840	9	scaffold406	128241	152323	-1
CGI_10026760	9	scaffold142	225750	254431	1
CGI_10027028	9	scaffold471	900045	947913	-1
CGI_10027295	9	scaffold3	612210	632275	1
CGI_10004777	8	scaffold41162	72852	107906	1
CGI_10004818	8	scaffold1253	15186	44891	1
CGI_10007171	8	scaffold1264	41236	82741	1
CGI_10007364	8	scaffold828	15085	79014	-1
CGI_10008245	8	scaffold42960	167033	184690	-1
CGI_10008808	8	scaffold43116	46223	64768	1
CGI_10009564	8	scaffold1627	118593	141645	-1
CGI_10010906	8	scaffold1759	82905	106418	1
CGI_10012010	8	scaffold1884	86279	96074	1
CGI_10014233	8	scaffold447	331382	354643	1
CGI_10016838	8	scaffold44	369681	375648	-1
CGI_10017036	8	scaffold274	442893	462703	-1
CGI_10017281	8	scaffold63	406163	426324	-1
CGI_10018675	8	scaffold189	162558	221166	-1
CGI_10019397	8	scaffold377	73850	99039	-1
CGI_10019895	8	scaffold730	359674	390340	-1
CGI_10020726	8	scaffold698	46494	76860	1
CGI_10020838	8	scaffold1244	508938	635898	-1
CGI_10005815	7	scaffold41900	1992	43353	-1
CGI_10006082	7	scaffold42076	20711	47909	1
CGI_10007529	7	scaffold1625	89845	97594	1
CGI_10007755	7	scaffold42788	98407	151977	1
CGI_10007991	7	scaffold42866	42150	93731	1
CGI_10009567	7	scaffold1627	173064	219682	-1
CGI_10010252	7	scaffold1601	148368	171766	1
CGI_10012248	7	scaffold352	149372	181585	-1
CGI_10013133	7	scaffold908	120298	147559	1
CGI_10013571	7	scaffold1673	57935	108305	1
CGI_10013808	7	scaffold1827	299627	306901	1
CGI_10016064	7	scaffold177	240974	300351	-1
CGI_10016209	7	scaffold588	26826	75048	1
CGI_10017084	7	scaffold335	55499	76156	1
CGI_10017563	7	scaffold381	357139	378369	1
CGI_10017802	7	scaffold1518	213310	214540	-1
CGI_10017829	7	scaffold1077	343081	378528	1
CGI_10017980	7	scaffold557	400528	413927	1
CGI_10018629	7	scaffold163	439738	483510	1
CGI_10019477	7	scaffold1322	394198	410376	-1
CGI_10020092	7	scaffold709	406943	427071	1
CGI_10020093	7	scaffold709	411384	421120	-1
CGI_10021706	7	scaffold599	28083	62122	1
CGI_10022545	7	scaffold544	43904	53870	-1
CGI_10023311	7	scaffold1132	47693	95911	-1
CGI_10023626	7	scaffold583	470956	505704	1
CGI_10025091	7	scaffold241	80964	102317	1
CGI_10026321	7	scaffold1836	1025204	1065430	-1
CGI_10027542	7	scaffold501	1068987	1093615	-1
CGI_10028355	7	scaffold419	617366	631938	1
CGI_10003612	6	scaffold39778	56712	69685	-1
CGI_10004469	6	scaffold1576	70061	87867	-1
CGI_10004523	6	scaffold40856	18200	48932	1
CGI_10005145	6	scaffold41472	94515	108065	1
CGI_10007754	6	scaffold42788	24369	92602	-1
CGI_10009635	6	scaffold43258	198849	232336	1
CGI_10009718	6	scaffold1028	38359	106235	-1
CGI_10012009	6	scaffold1884	40768	70838	1
CGI_10012420	6	scaffold43794	256501	270559	1
CGI_10013994	6	scaffold43920	173629	203515	1
CGI_10015133	6	scaffold578	389224	399020	-1
CGI_10017708	6	scaffold44098	187555	213785	1
CGI_10018334	6	scaffold630	390099	413660	1
CGI_10022196	6	scaffold880	490990	516117	-1
CGI_10022264	6	scaffold854	697978	729843	1
CGI_10022593	6	scaffold351	113760	136400	-1
CGI_10022721	6	scaffold365	98713	163231	-1
CGI_10023136	6	scaffold58	135138	172120	1
CGI_10023462	6	scaffold1149	230254	271705	1
CGI_10023847	6	scaffold406	401781	436007	1
CGI_10024204	6	scaffold392	172998	183271	1
CGI_10027343	6	scaffold1179	104901	123062	-1
CGI_10028283	6	scaffold1532	1126066	1152811	1
CGI_10028292	6	scaffold1532	1408196	1410146	-1
CGI_10003390	5	scaffold39522	1	9704	1
CGI_10004278	5	scaffold40606	6541	35661	1
CGI_10005407	5	scaffold488	23091	54480	-1
CGI_10005557	5	scaffold41754	20140	75900	-1
CGI_10006014	5	scaffold42032	38490	85082	1
CGI_10006371	5	scaffold1586	95822	109367	1
CGI_10006902	5	scaffold42440	51826	113781	1
CGI_10007352	5	scaffold1871	2307	42384	-1
CGI_10007607	5	scaffold42740	29864	54777	1
CGI_10007979	5	scaffold446	66304	132545	1
CGI_10009672	5	scaffold1333	338	24548	-1
CGI_10010979	5	scaffold1895	126234	163235	-1
CGI_10011454	5	scaffold807	28655	50070	1
CGI_10011988	5	scaffold1845	98469	121392	-1
CGI_10012276	5	scaffold43772	174438	218616	1
CGI_10014527	5	scaffold457	35149	55409	1
CGI_10014601	5	scaffold1210	157915	166448	-1
CGI_10015381	5	scaffold1138	349479	362117	1
CGI_10015401	5	scaffold616	278468	305529	-1
CGI_10015726	5	scaffold802	106008	130874	1
CGI_10016618	5	scaffold219	172029	217754	1
CGI_10016787	5	scaffold44064	459640	480605	-1
CGI_10018007	5	scaffold586	359889	435903	1
CGI_10018033	5	scaffold12	238507	250665	1
CGI_10018256	5	scaffold1737	465811	531668	-1
CGI_10018348	5	scaffold514	181742	191875	1
CGI_10018368	5	scaffold514	509357	518705	1
CGI_10018943	5	scaffold1262	299052	320830	-1
CGI_10020218	5	scaffold1857	530306	547291	-1
CGI_10020465	5	scaffold388	210826	226750	1
CGI_10020848	5	scaffold361	194083	225351	-1
CGI_10021355	5	scaffold43	380222	415471	-1
CGI_10021375	5	scaffold115	50116	63970	1
CGI_10021414	5	scaffold676	36733	47078	1
CGI_10021652	5	scaffold101	603146	611994	-1
CGI_10022185	5	scaffold880	211914	251131	-1
CGI_10022336	5	scaffold1710	65509	80594	1
CGI_10022926	5	scaffold950	252710	305175	-1
