Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10024086	15	scaffold801	337024	342103	-1
CGI_10012609	10	scaffold186	87308	120464	1
CGI_10003625	9	scaffold1818	7577	57224	-1
CGI_10006042	9	scaffold42030	26108	31368	1
CGI_10024087	9	scaffold801	382870	386070	-1
CGI_10015914	8	scaffold1849	72001	112634	-1
CGI_10022621	8	scaffold351	668210	748966	1
CGI_10007181	7	scaffold1872	15235	46149	1
CGI_10015580	7	scaffold44006	227355	241371	-1
CGI_10018531	7	scaffold290	50430	74485	1
CGI_10018675	7	scaffold189	162558	221166	-1
CGI_10022272	7	scaffold847	306777	327988	1
CGI_10024044	7	scaffold1741	528998	556087	1
CGI_10024400	7	scaffold1785	794120	829410	-1
CGI_10026861	7	scaffold601	1201024	1227827	-1
CGI_10027247	7	scaffold481	830206	860423	1
CGI_10009641	6	scaffold43290	111485	137096	-1
CGI_10011105	6	scaffold340	200937	217275	-1
CGI_10014709	6	scaffold659	294225	309392	-1
CGI_10014918	6	scaffold1490	301225	316925	1
CGI_10015202	6	scaffold1665	146782	159312	1
CGI_10016287	6	scaffold1345	363757	381659	-1
CGI_10017623	6	scaffold1670	381451	411223	-1
CGI_10017624	6	scaffold1670	380556	392432	1
CGI_10019459	6	scaffold445	591368	601001	1
CGI_10019921	6	scaffold1788	199768	269132	1
CGI_10020286	6	scaffold535	209531	219917	1
CGI_10023985	6	scaffold760	354628	375212	-1
CGI_10028630	6	scaffold150	887983	921874	1
CGI_10006483	5	scaffold42262	69025	81422	1
CGI_10008274	5	scaffold1841	116026	133379	1
CGI_10009874	5	scaffold43364	182799	209391	1
CGI_10010127	5	scaffold782	69249	82571	-1
CGI_10010157	5	scaffold43396	244017	250187	-1
CGI_10011106	5	scaffold340	204481	215029	1
CGI_10011282	5	scaffold1821	71408	98029	-1
CGI_10012189	5	scaffold722	69327	109619	1
CGI_10012432	5	scaffold498	279312	295271	-1
CGI_10014377	5	scaffold1462	239144	246171	-1
CGI_10015573	5	scaffold44006	85925	93831	-1
CGI_10015785	5	scaffold1329	142370	181575	-1
CGI_10015915	5	scaffold1849	84819	107525	1
CGI_10016469	5	scaffold712	3927	14566	-1
CGI_10016806	5	scaffold556	272202	381485	-1
CGI_10016808	5	scaffold556	381055	462901	-1
CGI_10017103	5	scaffold335	323490	337606	1
CGI_10017506	5	scaffold853	334854	364789	-1
CGI_10018619	5	scaffold163	216699	234188	1
CGI_10018842	5	scaffold547	79145	147153	1
CGI_10018984	5	scaffold269	11233	48550	1
CGI_10021599	5	scaffold1315	114033	120143	1
CGI_10022153	5	scaffold513	362257	378497	1
CGI_10023650	5	scaffold583	823802	847792	1
CGI_10026446	5	scaffold100	632050	652924	1
CGI_10028030	5	scaffold77	1264470	1292938	1
CGI_10004769	4	scaffold1107	52985	81298	-1
CGI_10007104	4	scaffold42516	34846	45955	-1
CGI_10007923	4	scaffold42850	68759	81591	1
CGI_10008199	4	scaffold814	126235	130167	-1
CGI_10009415	4	scaffold116	82692	86470	1
CGI_10009747	4	scaffold322	405	19094	-1
CGI_10009827	4	scaffold1476	213172	229952	1
CGI_10009828	4	scaffold1476	235027	244223	-1
CGI_10010148	4	scaffold43396	142567	162622	1
CGI_10010282	4	scaffold1637	213906	232047	-1
CGI_10011134	4	scaffold43576	197837	233524	-1
CGI_10012107	4	scaffold43742	60574	132442	-1
CGI_10012488	4	scaffold550	113868	123090	-1
CGI_10013547	4	scaffold1865	265949	319343	-1
CGI_10013580	4	scaffold1673	313709	330786	1
CGI_10013635	4	scaffold771	78206	116742	-1
CGI_10013830	4	scaffold1447	300093	325572	-1
CGI_10014105	4	scaffold162	355121	387233	-1
CGI_10014124	4	scaffold43932	228927	271310	-1
CGI_10014746	4	scaffold416	301346	310218	-1
CGI_10014914	4	scaffold1490	224676	250177	1
CGI_10015552	4	scaffold1901	225422	237696	-1
CGI_10015598	4	scaffold1711	39044	51534	-1
CGI_10015804	4	scaffold227	37235	57992	-1
CGI_10015805	4	scaffold227	42711	57979	1
CGI_10016468	4	scaffold712	1	4451	1
CGI_10016485	4	scaffold712	335086	347992	1
CGI_10016931	4	scaffold1767	439539	475831	1
CGI_10017125	4	scaffold1397	393954	427485	-1
CGI_10017126	4	scaffold1397	409059	426588	1
CGI_10017514	4	scaffold853	410154	430281	1
CGI_10017916	4	scaffold1866	291470	313994	1
CGI_10018693	4	scaffold368	48878	63729	-1
CGI_10018694	4	scaffold368	59997	69028	1
CGI_10019585	4	scaffold1794	286866	309724	-1
CGI_10020358	4	scaffold1104	131822	142361	1
CGI_10020455	4	scaffold388	84508	105123	-1
CGI_10020804	4	scaffold321	252938	267621	1
CGI_10020985	4	scaffold1736	564112	572691	1
CGI_10021698	4	scaffold1032	631219	649115	-1
CGI_10021703	4	scaffold1032	697623	702192	-1
CGI_10022365	4	scaffold1710	442099	452636	-1
CGI_10022614	4	scaffold351	588823	594284	-1
CGI_10022675	4	scaffold364	17377	81368	1
CGI_10022699	4	scaffold364	492619	513143	-1
CGI_10023124	4	scaffold432	782178	806579	1
CGI_10023758	4	scaffold1307	392687	428992	-1
CGI_10023873	4	scaffold406	780190	806574	-1
CGI_10023874	4	scaffold406	788733	806403	1
CGI_10024186	4	scaffold485	644177	658079	1
CGI_10024245	4	scaffold1219	53873	82081	1
CGI_10024469	4	scaffold271	301334	322950	-1
CGI_10024642	4	scaffold79	672176	703722	1
CGI_10024897	4	scaffold146	345580	376561	-1
CGI_10026588	4	scaffold313	203676	210794	1
CGI_10026680	4	scaffold53	695297	708394	1
CGI_10026726	4	scaffold301	580482	605494	-1
CGI_10027235	4	scaffold481	716173	750597	1
CGI_10027745	4	scaffold1301	820116	856956	1
CGI_10027816	4	scaffold198	576080	583653	1
CGI_10027965	4	scaffold77	55264	88313	1
CGI_10028384	4	scaffold419	1032396	1040252	1
CGI_10028629	4	scaffold150	855044	888703	1
CGI_10003397	3	scaffold39472	35257	64378	1
CGI_10003434	3	scaffold39592	3293	22531	1
CGI_10003758	3	scaffold39960	52974	64597	1
CGI_10003777	3	scaffold40002	35253	64033	1
CGI_10004103	3	scaffold549	30331	63327	1
CGI_10004457	3	scaffold40832	50373	82869	1
CGI_10004925	3	scaffold806	95930	114212	1
CGI_10005087	3	scaffold1467	55462	88462	-1
CGI_10005590	3	scaffold604	6227	40101	-1
CGI_10005672	3	scaffold41828	18916	31776	-1
CGI_10005877	3	scaffold41994	20349	31311	-1
CGI_10006230	3	scaffold42124	32717	47543	1
CGI_10006623	3	scaffold1887	55353	80893	-1
CGI_10006707	3	scaffold1829	60358	78282	1
CGI_10006907	3	scaffold1172	64511	80779	-1
CGI_10007209	3	scaffold42528	99418	144145	-1
CGI_10007224	3	scaffold1859	1	27981	1
CGI_10007347	3	scaffold42634	31186	72012	1
CGI_10007352	3	scaffold1871	2307	42384	-1
CGI_10007549	3	scaffold314	180258	183497	1
CGI_10007930	3	scaffold42850	164442	194169	1
CGI_10008099	3	scaffold42904	48148	66540	-1
CGI_10008200	3	scaffold814	128505	131948	1
CGI_10008268	3	scaffold1841	48203	73597	-1
CGI_10008447	3	scaffold43038	120050	147377	1
CGI_10008489	3	scaffold1729	146948	160763	-1
CGI_10008490	3	scaffold1729	153386	168154	1
CGI_10008803	3	scaffold339	145286	166002	1
CGI_10008893	3	scaffold43134	107519	112348	-1
CGI_10009214	3	scaffold1688	174971	180883	-1
CGI_10009400	3	scaffold76	117906	157990	-1
CGI_10009404	3	scaffold76	170017	218588	1
CGI_10009433	3	scaffold1100	138505	150745	-1
CGI_10009642	3	scaffold43290	142203	146822	1
CGI_10009716	3	scaffold1028	21923	29528	1
CGI_10009939	3	scaffold1349	108398	116363	1
CGI_10009977	3	scaffold43358	156161	176563	1
CGI_10010140	3	scaffold782	213275	248332	1
CGI_10010158	3	scaffold43396	248506	252850	1
CGI_10010225	3	scaffold43442	11443	33732	1
CGI_10010267	3	scaffold1815	160606	174386	-1
CGI_10010268	3	scaffold1815	172639	183434	1
CGI_10010451	3	scaffold1858	183137	187793	-1
CGI_10010676	3	scaffold1608	74219	91136	1
CGI_10010832	3	scaffold19	65348	77367	1
CGI_10011003	3	scaffold308	34698	47667	1
CGI_10011030	3	scaffold43562	78017	125003	1
CGI_10011755	3	scaffold43686	50576	69311	-1
CGI_10012127	3	scaffold1890	118798	129877	1
CGI_10012186	3	scaffold722	681	45793	-1
CGI_10012188	3	scaffold722	57810	74490	-1
CGI_10012201	3	scaffold722	213107	275814	-1
CGI_10012270	3	scaffold43772	92499	106031	-1
CGI_10012405	3	scaffold1112	145318	181319	-1
CGI_10012447	3	scaffold1805	255030	269289	-1
CGI_10012864	3	scaffold1533	1485	40419	1
CGI_10012919	3	scaffold223	232845	237608	-1
CGI_10013096	3	scaffold43842	24395	59294	1
CGI_10013098	3	scaffold43842	71885	97760	1
CGI_10013185	3	scaffold1870	171421	191977	-1
CGI_10013233	3	scaffold1359	58796	79396	1
CGI_10013368	3	scaffold1804	109348	117836	-1
CGI_10013565	3	scaffold1673	726	32015	-1
CGI_10013809	3	scaffold1827	310035	355687	-1
CGI_10014118	3	scaffold43932	147931	157899	1
CGI_10014264	3	scaffold1838	331958	349598	1
CGI_10014314	3	scaffold737	207639	240787	-1
CGI_10014316	3	scaffold737	273277	289630	1
CGI_10014555	3	scaffold1780	252105	265653	-1
CGI_10015056	3	scaffold71	126807	161553	1
CGI_10015239	3	scaffold193	347501	369782	1
CGI_10015282	3	scaffold44008	36940	63806	-1
CGI_10015414	3	scaffold1469	117979	165008	1
CGI_10015562	3	scaffold1901	362777	393141	-1
CGI_10015574	3	scaffold44006	94072	120906	1
CGI_10015678	3	scaffold479	15414	48007	-1
CGI_10015760	3	scaffold499	21718	44589	1
CGI_10016209	3	scaffold588	26826	75048	1
CGI_10016253	3	scaffold1222	441392	455325	-1
CGI_10016476	3	scaffold712	68933	76366	1
CGI_10016519	3	scaffold1083	22185	37009	-1
CGI_10017062	3	scaffold747	129961	162540	-1
CGI_10017163	3	scaffold977	146070	168200	-1
CGI_10017281	3	scaffold63	406163	426324	-1
CGI_10017389	3	scaffold751	235635	248422	-1
CGI_10017507	3	scaffold853	350214	358565	1
CGI_10017619	3	scaffold1670	338824	354391	1
CGI_10017966	3	scaffold557	47116	84012	-1
CGI_10018305	3	scaffold267	292085	317889	1
CGI_10018924	3	scaffold42	511521	524008	-1
CGI_10018941	3	scaffold1262	234258	243112	1
CGI_10019004	3	scaffold269	389230	405525	-1
CGI_10019235	3	scaffold980	449570	461359	1
CGI_10019313	3	scaffold363	547430	558852	-1
CGI_10019328	3	scaffold402	414276	434862	1
CGI_10019506	3	scaffold376	331949	335582	-1
CGI_10019722	3	scaffold1221	10974	25890	1
CGI_10019876	3	scaffold1512	524189	531966	-1
CGI_10020212	3	scaffold1857	474565	487770	-1
CGI_10020285	3	scaffold535	202645	210712	-1
CGI_10020501	3	scaffold580	377109	382608	1
CGI_10020746	3	scaffold698	384445	390859	-1
CGI_10020789	3	scaffold1004	557336	573421	-1
CGI_10020891	3	scaffold332	575417	590440	1
CGI_10020915	3	scaffold1897	173953	179624	-1
CGI_10020922	3	scaffold1897	299279	322713	-1
CGI_10021117	3	scaffold610	373045	383308	-1
CGI_10021218	3	scaffold99	644788	657030	-1
CGI_10021275	3	scaffold157	613262	619841	-1
CGI_10021713	3	scaffold599	250821	273096	1
CGI_10021771	3	scaffold343	643828	663585	-1
CGI_10021773	3	scaffold343	647729	652436	1
CGI_10021936	3	scaffold1086	172372	179900	1
CGI_10022032	3	scaffold106	238866	260059	-1
CGI_10022123	3	scaffold109	556306	603247	-1
CGI_10022178	3	scaffold880	47592	63756	1
CGI_10022253	3	scaffold854	454980	489187	-1
