Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10022372	31	scaffold1710	602742	700546	1
CGI_10025876	23	scaffold733	407619	548638	1
CGI_10007171	21	scaffold1264	41236	82741	1
CGI_10012796	21	scaffold1237	200980	293560	1
CGI_10006142	19	scaffold1656	45907	74911	-1
CGI_10012536	19	scaffold43798	709	51895	-1
CGI_10013783	19	scaffold1409	123560	154776	-1
CGI_10018592	18	scaffold247	138499	148449	1
CGI_10006698	17	scaffold42326	118399	155714	-1
CGI_10006476	16	scaffold42246	61481	100048	-1
CGI_10007573	16	scaffold879	83884	130121	-1
CGI_10019155	15	scaffold942	166859	210633	1
CGI_10019846	15	scaffold563	541480	589820	1
CGI_10011254	14	scaffold230	249649	284875	-1
CGI_10003316	13	scaffold1690	9012	65265	-1
CGI_10005250	13	scaffold1817	9897	45966	-1
CGI_10007991	13	scaffold42866	42150	93731	1
CGI_10011947	13	scaffold1720	159591	212734	-1
CGI_10016064	13	scaffold177	240974	300351	-1
CGI_10016209	13	scaffold588	26826	75048	1
CGI_10025753	13	scaffold619	65195	93317	1
CGI_10027295	13	scaffold3	612210	632275	1
CGI_10004002	12	scaffold40282	55091	83549	1
CGI_10007755	12	scaffold42788	98407	151977	1
CGI_10009387	12	scaffold521	108014	132801	1
CGI_10009597	12	scaffold1119	12791	36563	1
CGI_10009718	12	scaffold1028	38359	106235	-1
CGI_10012317	12	scaffold477	196136	223156	-1
CGI_10013340	12	scaffold1894	214043	252780	1
CGI_10013853	12	scaffold1525	21768	58796	1
CGI_10014766	12	scaffold542	230390	251299	-1
CGI_10017084	12	scaffold335	55499	76156	1
CGI_10020838	12	scaffold1244	508938	635898	-1
CGI_10022448	12	scaffold496	181480	267652	-1
CGI_10027598	12	scaffold591	1080967	1122868	-1
CGI_10004502	11	scaffold40828	27348	61048	1
CGI_10007352	11	scaffold1871	2307	42384	-1
CGI_10011828	11	scaffold1235	16837	35725	-1
CGI_10017830	11	scaffold1077	386371	414102	1
CGI_10019194	11	scaffold126	334382	362232	-1
CGI_10023311	11	scaffold1132	47693	95911	-1
CGI_10024204	11	scaffold392	172998	183271	1
CGI_10004469	10	scaffold1576	70061	87867	-1
CGI_10009372	10	scaffold993	19420	32135	-1
CGI_10009567	10	scaffold1627	173064	219682	-1
CGI_10009672	10	scaffold1333	338	24548	-1
CGI_10012107	10	scaffold43742	60574	132442	-1
CGI_10012744	10	scaffold1792	55871	125119	-1
CGI_10013571	10	scaffold1673	57935	108305	1
CGI_10014233	10	scaffold447	331382	354643	1
CGI_10018162	10	scaffold236	506625	528982	-1
CGI_10019397	10	scaffold377	73850	99039	-1
CGI_10021067	10	scaffold203	239078	263515	1
CGI_10022972	10	scaffold348	159739	182763	1
CGI_10023626	10	scaffold583	470956	505704	1
CGI_10027028	10	scaffold471	900045	947913	-1
CGI_10027060	10	scaffold433	202495	226770	1
CGI_10027225	10	scaffold481	564527	581694	-1
CGI_10027545	10	scaffold501	1134633	1192403	-1
CGI_10005590	9	scaffold604	6227	40101	-1
CGI_10005815	9	scaffold41900	1992	43353	-1
CGI_10006902	9	scaffold42440	51826	113781	1
CGI_10007586	9	scaffold1299	131868	184987	1
CGI_10007754	9	scaffold42788	24369	92602	-1
CGI_10009807	9	scaffold1204	59148	68801	-1
CGI_10010189	9	scaffold930	51525	92930	-1
CGI_10010360	9	scaffold683	155724	197942	1
CGI_10012420	9	scaffold43794	256501	270559	1
CGI_10021806	9	scaffold347	701188	711517	1
CGI_10022593	9	scaffold351	113760	136400	-1
CGI_10023196	9	scaffold602	582910	615175	1
CGI_10023314	9	scaffold1132	207782	232438	-1
CGI_10023462	9	scaffold1149	230254	271705	1
CGI_10004066	8	scaffold40396	2119	28704	-1
CGI_10004278	8	scaffold40606	6541	35661	1
CGI_10004818	8	scaffold1253	15186	44891	1
CGI_10005407	8	scaffold488	23091	54480	-1
CGI_10005557	8	scaffold41754	20140	75900	-1
CGI_10009564	8	scaffold1627	118593	141645	-1
CGI_10012248	8	scaffold352	149372	181585	-1
CGI_10013334	8	scaffold1894	18177	68015	-1
CGI_10016618	8	scaffold219	172029	217754	1
CGI_10018346	8	scaffold514	67103	123805	-1
CGI_10018508	8	scaffold472	166232	201650	1
CGI_10020015	8	scaffold948	218200	300594	1
CGI_10020253	8	scaffold489	535940	575437	-1
CGI_10021652	8	scaffold101	603146	611994	-1
CGI_10022196	8	scaffold880	490990	516117	-1
CGI_10022373	8	scaffold1710	716235	736298	-1
CGI_10024318	8	scaffold502	264921	292012	1
CGI_10026230	8	scaffold867	409873	444119	-1
CGI_10026620	8	scaffold313	692847	734575	1
CGI_10028415	8	scaffold419	1659861	1692072	-1
CGI_10003361	7	scaffold734	15567	25465	-1
CGI_10003898	7	scaffold40164	2839	13364	-1
CGI_10004332	7	scaffold40664	68857	89135	-1
CGI_10005137	7	scaffold41466	20923	33174	1
CGI_10005199	7	scaffold1564	80148	113523	-1
CGI_10005249	7	scaffold41534	1	65052	1
CGI_10006248	7	scaffold42144	104437	126325	-1
CGI_10006286	7	scaffold1166	63536	84545	1
CGI_10006482	7	scaffold42262	40142	66350	1
CGI_10008138	7	scaffold42896	159672	185196	-1
CGI_10008245	7	scaffold42960	167033	184690	-1
CGI_10009076	7	scaffold1616	55395	104736	1
CGI_10009185	7	scaffold1411	24558	66895	-1
CGI_10009280	7	scaffold399	738	36362	1
CGI_10009863	7	scaffold1663	14275	34810	-1
CGI_10010906	7	scaffold1759	82905	106418	1
CGI_10012338	7	scaffold1125	189933	229052	-1
CGI_10013133	7	scaffold908	120298	147559	1
CGI_10013262	7	scaffold1484	178260	209329	1
CGI_10014170	7	scaffold631	95661	118923	-1
CGI_10014332	7	scaffold1611	296623	328864	1
CGI_10014527	7	scaffold457	35149	55409	1
CGI_10015726	7	scaffold802	106008	130874	1
CGI_10017829	7	scaffold1077	343081	378528	1
CGI_10017888	7	scaffold1541	201379	235972	-1
CGI_10019576	7	scaffold1794	173097	184463	1
CGI_10019629	7	scaffold1889	574360	587358	1
CGI_10020228	7	scaffold489	93550	114740	-1
CGI_10021355	7	scaffold43	380222	415471	-1
CGI_10022047	7	scaffold106	498736	513466	-1
CGI_10022264	7	scaffold854	697978	729843	1
CGI_10023200	7	scaffold602	697009	712747	-1
CGI_10023840	7	scaffold406	128241	152323	-1
CGI_10025475	7	scaffold1188	404833	426213	-1
CGI_10026321	7	scaffold1836	1025204	1065430	-1
CGI_10028119	7	scaffold337	1471928	1489134	-1
CGI_10028272	7	scaffold1532	794910	826805	-1
CGI_10028723	7	scaffold1009	246787	272005	-1
CGI_10028939	7	scaffold22	1869336	1886890	-1
CGI_10003954	6	scaffold40208	29839	69631	1
CGI_10004193	6	scaffold40512	31163	58255	1
CGI_10004826	6	scaffold178	58024	93952	-1
CGI_10005358	6	scaffold1553	2198	29329	1
CGI_10005690	6	scaffold1561	20753	41366	-1
CGI_10005916	6	scaffold41998	116331	128159	-1
CGI_10006246	6	scaffold42144	8140	67657	1
CGI_10006575	6	scaffold42302	139205	149407	-1
CGI_10006796	6	scaffold42402	126799	151962	1
CGI_10007551	6	scaffold213	37246	63515	1
CGI_10007862	6	scaffold42836	142632	181424	1
CGI_10008376	6	scaffold42990	71080	92253	1
CGI_10009407	6	scaffold116	1	6259	1
CGI_10010259	6	scaffold1815	4876	34806	-1
CGI_10011130	6	scaffold43576	80480	131391	1
CGI_10011264	6	scaffold579	192436	221323	1
CGI_10011988	6	scaffold1845	98469	121392	-1
CGI_10012009	6	scaffold1884	40768	70838	1
CGI_10012212	6	scaffold1898	117852	130818	-1
CGI_10013121	6	scaffold1252	259981	269359	1
CGI_10013742	6	scaffold581	217971	277528	-1
CGI_10013766	6	scaffold510	59689	84499	1
CGI_10014369	6	scaffold424	295668	346533	-1
CGI_10014677	6	scaffold1041	227801	268863	-1
CGI_10015033	6	scaffold43986	325358	336597	1
CGI_10015407	6	scaffold616	349715	381796	1
CGI_10015534	6	scaffold11	263896	275321	-1
CGI_10015851	6	scaffold987	295330	356695	1
CGI_10016651	6	scaffold1834	39709	65850	1
CGI_10018821	6	scaffold298	127795	156084	1
CGI_10019027	6	scaffold808	314077	329688	-1
CGI_10020295	6	scaffold535	461042	477370	-1
CGI_10020741	6	scaffold698	322964	344620	-1
CGI_10020954	6	scaffold1736	155787	190151	-1
CGI_10022093	6	scaffold394	548658	560561	1
CGI_10022513	6	scaffold593	123601	129916	-1
CGI_10023016	6	scaffold1101	161730	179883	-1
CGI_10023136	6	scaffold58	135138	172120	1
CGI_10023621	6	scaffold583	365612	391201	-1
CGI_10024047	6	scaffold1741	574954	614216	1
CGI_10024205	6	scaffold392	199677	204260	-1
CGI_10024651	6	scaffold79	834269	855268	-1
CGI_10024790	6	scaffold70	764546	797463	-1
CGI_10025361	6	scaffold226	458262	495436	-1
CGI_10027235	6	scaffold481	716173	750597	1
CGI_10028048	6	scaffold77	1579803	1601588	-1
CGI_10028431	6	scaffold102	274200	302612	-1
CGI_10003565	5	scaffold1752	8754	19177	-1
CGI_10003637	5	scaffold39884	37781	74627	-1
CGI_10003829	5	scaffold40026	16295	34029	-1
CGI_10004523	5	scaffold40856	18200	48932	1
CGI_10004593	5	scaffold40952	40889	51889	-1
CGI_10004760	5	scaffold41164	7070	33886	1
CGI_10005179	5	scaffold1488	89513	121461	1
CGI_10005180	5	scaffold1488	90668	96164	-1
CGI_10005698	5	scaffold41876	40116	61108	1
CGI_10005915	5	scaffold41998	106642	122323	1
CGI_10006082	5	scaffold42076	20711	47909	1
CGI_10006371	5	scaffold1586	95822	109367	1
CGI_10006445	5	scaffold1867	47816	84289	-1
CGI_10007267	5	scaffold42568	51571	103707	-1
CGI_10007280	5	scaffold1746	44742	110596	1
CGI_10007442	5	scaffold42674	102061	110377	-1
CGI_10007605	5	scaffold42762	97872	117374	1
CGI_10007636	5	scaffold640	12435	38183	-1
CGI_10008185	5	scaffold42924	34345	68833	-1
CGI_10008381	5	scaffold42990	121654	148222	-1
CGI_10008614	5	scaffold743	82791	109134	1
CGI_10008780	5	scaffold110	128432	174946	1
CGI_10008878	5	scaffold1388	9002	36424	-1
CGI_10008897	5	scaffold43134	144623	189907	1
CGI_10008917	5	scaffold635	4807	38724	-1
CGI_10009117	5	scaffold43184	172157	194737	-1
CGI_10009230	5	scaffold1245	187338	191856	-1
CGI_10009400	5	scaffold76	117906	157990	-1
CGI_10009408	5	scaffold116	5674	18731	1
CGI_10009541	5	scaffold1503	219416	231128	-1
CGI_10009708	5	scaffold372	173398	181404	-1
CGI_10009951	5	scaffold1707	112937	128554	1
CGI_10010047	5	scaffold1227	9079	29834	-1
CGI_10010439	5	scaffold1858	1684	50149	-1
CGI_10010464	5	scaffold609	182215	213482	1
CGI_10010727	5	scaffold43530	25078	55104	-1
CGI_10010784	5	scaffold43526	35766	62971	1
CGI_10011004	5	scaffold308	47566	59085	1
CGI_10011517	5	scaffold43630	16349	31979	-1
CGI_10011932	5	scaffold1874	234506	270737	-1
CGI_10012692	5	scaffold386	254590	285645	-1
CGI_10012816	5	scaffold1603	44108	69236	-1
CGI_10012822	5	scaffold1603	155672	176240	-1
CGI_10013117	5	scaffold1252	121255	142328	1
CGI_10013236	5	scaffold1359	137228	158438	-1
CGI_10013429	5	scaffold1630	327938	343063	-1
CGI_10013469	5	scaffold1	162980	185527	1
CGI_10013911	5	scaffold94	73090	95812	-1
CGI_10014236	5	scaffold447	367288	390714	1
CGI_10014534	5	scaffold457	213050	223173	-1
CGI_10014764	5	scaffold542	155779	173057	-1
CGI_10014831	5	scaffold689	335137	372615	-1
CGI_10014862	5	scaffold804	264196	278860	-1
CGI_10014955	5	scaffold655	225207	259283	-1
CGI_10015222	5	scaffold193	58988	95620	1
CGI_10015381	5	scaffold1138	349479	362117	1
CGI_10016069	5	scaffold177	404243	416019	1
CGI_10016222	5	scaffold588	367299	378978	-1
CGI_10016312	5	scaffold1316	367063	407080	-1
CGI_10016397	5	scaffold1800	1	94076	1
CGI_10016693	5	scaffold1863	292710	322956	-1
CGI_10017036	5	scaffold274	442893	462703	-1
CGI_10017082	5	scaffold335	19367	30766	-1
CGI_10017281	5	scaffold63	406163	426324	-1
CGI_10017426	5	scaffold925	367361	388516	1
CGI_10017563	5	scaffold381	357139	378369	1
CGI_10018007	5	scaffold586	359889	435903	1
CGI_10018172	5	scaffold459	169216	217909	1
CGI_10018268	5	scaffold67	171793	187122	1
CGI_10018457	5	scaffold632	383615	412354	-1
CGI_10018684	5	scaffold189	455834	488246	1
CGI_10018781	5	scaffold576	413126	433443	-1
CGI_10018857	5	scaffold547	419498	446830	-1
CGI_10019058	5	scaffold1249	253670	269651	-1
CGI_10019472	5	scaffold1322	264135	302274	1
CGI_10020230	5	scaffold489	135190	156521	1
CGI_10020283	5	scaffold535	110373	154699	1
CGI_10020297	5	scaffold535	500982	523518	-1
CGI_10021153	5	scaffold829	600121	611284	1
CGI_10021179	5	scaffold4	420407	461487	-1
CGI_10021361	5	scaffold43	558255	583492	-1
CGI_10021375	5	scaffold115	50116	63970	1
CGI_10021592	5	scaffold1315	31055	52619	-1
CGI_10022079	5	scaffold394	305050	351201	-1
CGI_10022252	5	scaffold854	396662	453116	1
CGI_10022368	5	scaffold1710	504144	530486	1
CGI_10022391	5	scaffold541	373407	388637	-1
CGI_10022675	5	scaffold364	17377	81368	1
CGI_10022775	5	scaffold443	402348	432121	-1
CGI_10022796	5	scaffold413	137311	158515	1
CGI_10023413	5	scaffold625	315113	329208	1
CGI_10023609	5	scaffold583	158568	179467	-1
CGI_10023717	5	scaffold192	425049	458159	-1
