Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10025876	35	scaffold733	407619	548638	1
CGI_10022372	26	scaffold1710	602742	700546	1
CGI_10006142	24	scaffold1656	45907	74911	-1
CGI_10012796	22	scaffold1237	200980	293560	1
CGI_10013783	20	scaffold1409	123560	154776	-1
CGI_10006476	19	scaffold42246	61481	100048	-1
CGI_10016209	19	scaffold588	26826	75048	1
CGI_10004826	18	scaffold178	58024	93952	-1
CGI_10006698	16	scaffold42326	118399	155714	-1
CGI_10007573	16	scaffold879	83884	130121	-1
CGI_10007171	15	scaffold1264	41236	82741	1
CGI_10010906	15	scaffold1759	82905	106418	1
CGI_10023136	15	scaffold58	135138	172120	1
CGI_10017830	14	scaffold1077	386371	414102	1
CGI_10004002	13	scaffold40282	55091	83549	1
CGI_10006902	13	scaffold42440	51826	113781	1
CGI_10018592	13	scaffold247	138499	148449	1
CGI_10022093	13	scaffold394	548658	560561	1
CGI_10022593	13	scaffold351	113760	136400	-1
CGI_10004502	12	scaffold40828	27348	61048	1
CGI_10012317	12	scaffold477	196136	223156	-1
CGI_10012536	12	scaffold43798	709	51895	-1
CGI_10017036	12	scaffold274	442893	462703	-1
CGI_10027225	12	scaffold481	564527	581694	-1
CGI_10016064	11	scaffold177	240974	300351	-1
CGI_10020838	11	scaffold1244	508938	635898	-1
CGI_10022196	11	scaffold880	490990	516117	-1
CGI_10027028	11	scaffold471	900045	947913	-1
CGI_10004777	10	scaffold41162	72852	107906	1
CGI_10007991	10	scaffold42866	42150	93731	1
CGI_10009372	10	scaffold993	19420	32135	-1
CGI_10009567	10	scaffold1627	173064	219682	-1
CGI_10009718	10	scaffold1028	38359	106235	-1
CGI_10017800	10	scaffold1518	209347	219718	1
CGI_10018162	10	scaffold236	506625	528982	-1
CGI_10018629	10	scaffold163	439738	483510	1
CGI_10019846	10	scaffold563	541480	589820	1
CGI_10020253	10	scaffold489	535940	575437	-1
CGI_10006223	9	scaffold200	27354	40232	1
CGI_10007754	9	scaffold42788	24369	92602	-1
CGI_10009807	9	scaffold1204	59148	68801	-1
CGI_10014677	9	scaffold1041	227801	268863	-1
CGI_10014766	9	scaffold542	230390	251299	-1
CGI_10016397	9	scaffold1800	1	94076	1
CGI_10019895	9	scaffold730	359674	390340	-1
CGI_10021375	9	scaffold115	50116	63970	1
CGI_10022373	9	scaffold1710	716235	736298	-1
CGI_10022448	9	scaffold496	181480	267652	-1
CGI_10022721	9	scaffold365	98713	163231	-1
CGI_10027060	9	scaffold433	202495	226770	1
CGI_10027188	9	scaffold1599	1239579	1254649	-1
CGI_10027598	9	scaffold591	1080967	1122868	-1
CGI_10003316	8	scaffold1690	9012	65265	-1
CGI_10003954	8	scaffold40208	29839	69631	1
CGI_10005653	8	scaffold41794	2	19409	1
CGI_10007093	8	scaffold42524	18209	33426	-1
CGI_10007098	8	scaffold174	94750	119756	1
CGI_10009387	8	scaffold521	108014	132801	1
CGI_10009597	8	scaffold1119	12791	36563	1
CGI_10012744	8	scaffold1792	55871	125119	-1
CGI_10013340	8	scaffold1894	214043	252780	1
CGI_10013481	8	scaffold209	78980	140319	1
CGI_10013490	8	scaffold209	180884	204269	-1
CGI_10014025	8	scaffold983	17332	29028	1
CGI_10014233	8	scaffold447	331382	354643	1
CGI_10016651	8	scaffold1834	39709	65850	1
CGI_10017084	8	scaffold335	55499	76156	1
CGI_10018172	8	scaffold459	169216	217909	1
CGI_10019194	8	scaffold126	334382	362232	-1
CGI_10019943	8	scaffold1036	62334	74775	-1
CGI_10024318	8	scaffold502	264921	292012	1
CGI_10025753	8	scaffold619	65195	93317	1
CGI_10026321	8	scaffold1836	1025204	1065430	-1
CGI_10027183	8	scaffold1599	1163879	1191199	1
CGI_10027815	8	scaffold198	531542	554203	1
CGI_10004469	7	scaffold1576	70061	87867	-1
CGI_10005142	7	scaffold41472	41545	62172	-1
CGI_10005407	7	scaffold488	23091	54480	-1
CGI_10007094	7	scaffold42524	21506	31845	1
CGI_10007551	7	scaffold213	37246	63515	1
CGI_10007607	7	scaffold42740	29864	54777	1
CGI_10007755	7	scaffold42788	98407	151977	1
CGI_10008627	7	scaffold43064	50628	71232	-1
CGI_10009088	7	scaffold1323	190439	214355	-1
CGI_10010252	7	scaffold1601	148368	171766	1
CGI_10010439	7	scaffold1858	1684	50149	-1
CGI_10011254	7	scaffold230	249649	284875	-1
CGI_10011268	7	scaffold579	262302	283849	1
CGI_10011454	7	scaffold807	28655	50070	1
CGI_10011675	7	scaffold783	1790	33865	1
CGI_10012562	7	scaffold43804	232134	253939	-1
CGI_10013286	7	scaffold49	270599	296772	-1
CGI_10017563	7	scaffold381	357139	378369	1
CGI_10017801	7	scaffold1518	212842	214237	-1
CGI_10020741	7	scaffold698	322964	344620	-1
CGI_10021200	7	scaffold99	330566	347310	-1
CGI_10021414	7	scaffold676	36733	47078	1
CGI_10022775	7	scaffold443	402348	432121	-1
CGI_10023311	7	scaffold1132	47693	95911	-1
CGI_10023847	7	scaffold406	401781	436007	1
CGI_10024897	7	scaffold146	345580	376561	-1
CGI_10026457	7	scaffold100	802879	806686	1
CGI_10027295	7	scaffold3	612210	632275	1
CGI_10003883	6	scaffold40134	38336	73471	1
CGI_10004066	6	scaffold40396	2119	28704	-1
CGI_10004103	6	scaffold549	30331	63327	1
CGI_10004278	6	scaffold40606	6541	35661	1
CGI_10004430	6	scaffold1864	28119	35115	-1
CGI_10005126	6	scaffold41480	8841	73363	1
CGI_10006286	6	scaffold1166	63536	84545	1
CGI_10007083	6	scaffold242	74832	84666	1
CGI_10007364	6	scaffold828	15085	79014	-1
CGI_10007636	6	scaffold640	12435	38183	-1
CGI_10007952	6	scaffold1879	16088	26742	1
CGI_10008917	6	scaffold635	4807	38724	-1
CGI_10009564	6	scaffold1627	118593	141645	-1
CGI_10010189	6	scaffold930	51525	92930	-1
CGI_10012248	6	scaffold352	149372	181585	-1
CGI_10012405	6	scaffold1112	145318	181319	-1
CGI_10013175	6	scaffold790	263176	285099	1
CGI_10013469	6	scaffold1	162980	185527	1
CGI_10013808	6	scaffold1827	299627	306901	1
CGI_10014601	6	scaffold1210	157915	166448	-1
CGI_10015851	6	scaffold987	295330	356695	1
CGI_10016587	6	scaffold772	238963	262048	-1
CGI_10016920	6	scaffold1767	274985	293535	1
CGI_10017075	6	scaffold747	335107	349264	-1
CGI_10017708	6	scaffold44098	187555	213785	1
CGI_10017829	6	scaffold1077	343081	378528	1
