Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10012796	15	scaffold1237	200980	293560	1
CGI_10022372	14	scaffold1710	602742	700546	1
CGI_10007573	10	scaffold879	83884	130121	-1
CGI_10017830	9	scaffold1077	386371	414102	1
CGI_10019155	9	scaffold942	166859	210633	1
CGI_10022251	9	scaffold854	351110	370934	1
CGI_10013340	8	scaffold1894	214043	252780	1
CGI_10022985	8	scaffold348	445425	464513	1
CGI_10006698	7	scaffold42326	118399	155714	-1
CGI_10007171	7	scaffold1264	41236	82741	1
CGI_10007755	7	scaffold42788	98407	151977	1
CGI_10012317	7	scaffold477	196136	223156	-1
CGI_10016209	7	scaffold588	26826	75048	1
CGI_10024087	7	scaffold801	382870	386070	-1
CGI_10025876	7	scaffold733	407619	548638	1
CGI_10027060	7	scaffold433	202495	226770	1
CGI_10004002	6	scaffold40282	55091	83549	1
CGI_10005708	6	scaffold41824	18136	52013	-1
CGI_10006476	6	scaffold42246	61481	100048	-1
CGI_10006623	6	scaffold1887	55353	80893	-1
CGI_10015222	6	scaffold193	58988	95620	1
CGI_10018256	6	scaffold1737	465811	531668	-1
CGI_10018684	6	scaffold189	455834	488246	1
CGI_10021179	6	scaffold4	420407	461487	-1
CGI_10003316	5	scaffold1690	9012	65265	-1
CGI_10004930	5	scaffold597	78607	90731	-1
CGI_10005716	5	scaffold41832	28035	70053	1
CGI_10006230	5	scaffold42124	32717	47543	1
CGI_10007181	5	scaffold1872	15235	46149	1
CGI_10007754	5	scaffold42788	24369	92602	-1
CGI_10011105	5	scaffold340	200937	217275	-1
CGI_10011947	5	scaffold1720	159591	212734	-1
CGI_10012536	5	scaffold43798	709	51895	-1
CGI_10013783	5	scaffold1409	123560	154776	-1
CGI_10014369	5	scaffold424	295668	346533	-1
CGI_10014677	5	scaffold1041	227801	268863	-1
CGI_10014766	5	scaffold542	230390	251299	-1
CGI_10015860	5	scaffold1293	154816	184715	-1
CGI_10017177	5	scaffold789	198	47435	-1
CGI_10017281	5	scaffold63	406163	426324	-1
CGI_10017389	5	scaffold751	235635	248422	-1
CGI_10017610	5	scaffold1670	247991	268997	1
CGI_10018346	5	scaffold514	67103	123805	-1
CGI_10018842	5	scaffold547	79145	147153	1
CGI_10021592	5	scaffold1315	31055	52619	-1
CGI_10022593	5	scaffold351	113760	136400	-1
CGI_10022621	5	scaffold351	668210	748966	1
CGI_10026198	5	scaffold1154	939257	974284	-1
CGI_10027235	5	scaffold481	716173	750597	1
CGI_10028415	5	scaffold419	1659861	1692072	-1
CGI_10003700	4	scaffold608	5604	42818	1
CGI_10004066	4	scaffold40396	2119	28704	-1
CGI_10004768	4	scaffold1107	24384	68274	1
CGI_10004929	4	scaffold597	49691	76924	1
CGI_10005249	4	scaffold41534	1	65052	1
CGI_10005375	4	scaffold41666	36047	95418	1
CGI_10005710	4	scaffold41824	65241	105767	-1
CGI_10006042	4	scaffold42030	26108	31368	1
CGI_10006322	4	scaffold42164	101554	129998	-1
CGI_10006334	4	scaffold42172	95629	132460	-1
CGI_10006796	4	scaffold42402	126799	151962	1
CGI_10007093	4	scaffold42524	18209	33426	-1
CGI_10007094	4	scaffold42524	21506	31845	1
CGI_10007364	4	scaffold828	15085	79014	-1
CGI_10007551	4	scaffold213	37246	63515	1
CGI_10007679	4	scaffold42754	132137	161897	-1
CGI_10007718	4	scaffold42790	47227	103130	-1
CGI_10007727	4	scaffold42784	1106	16958	-1
CGI_10007728	4	scaffold42784	3255	31766	1
CGI_10007803	4	scaffold1508	87111	107923	1
CGI_10008780	4	scaffold110	128432	174946	1
CGI_10008974	4	scaffold1738	146423	184757	1
CGI_10009564	4	scaffold1627	118593	141645	-1
CGI_10009597	4	scaffold1119	12791	36563	1
CGI_10009840	4	scaffold43344	138526	161362	1
CGI_10009863	4	scaffold1663	14275	34810	-1
CGI_10010464	4	scaffold609	182215	213482	1
CGI_10010779	4	scaffold759	200364	233211	1
CGI_10011030	4	scaffold43562	78017	125003	1
CGI_10011986	4	scaffold1845	77020	86714	-1
CGI_10012107	4	scaffold43742	60574	132442	-1
CGI_10012189	4	scaffold722	69327	109619	1
CGI_10012348	4	scaffold43786	57956	133417	-1
CGI_10012405	4	scaffold1112	145318	181319	-1
CGI_10013471	4	scaffold1	207338	230810	-1
CGI_10014372	4	scaffold1462	125068	169270	1
CGI_10015282	4	scaffold44008	36940	63806	-1
CGI_10015552	4	scaffold1901	225422	237696	-1
CGI_10015851	4	scaffold987	295330	356695	1
CGI_10015914	4	scaffold1849	72001	112634	-1
CGI_10016389	4	scaffold594	359724	407601	1
CGI_10016397	4	scaffold1800	1	94076	1
CGI_10017563	4	scaffold381	357139	378369	1
CGI_10017829	4	scaffold1077	343081	378528	1
CGI_10018019	4	scaffold12	82484	101318	-1
CGI_10019611	4	scaffold1889	246450	270482	-1
CGI_10019629	4	scaffold1889	574360	587358	1
CGI_10020015	4	scaffold948	218200	300594	1
CGI_10020048	4	scaffold258	180673	189812	1
CGI_10021233	4	scaffold157	142536	202006	1
CGI_10021375	4	scaffold115	50116	63970	1
CGI_10024400	4	scaffold1785	794120	829410	-1
CGI_10024688	4	scaffold469	596386	616988	1
CGI_10024790	4	scaffold70	764546	797463	-1
CGI_10025063	4	scaffold107	574715	585836	-1
CGI_10025064	4	scaffold107	575286	584997	1
CGI_10025542	4	scaffold370	431990	468015	1
CGI_10025753	4	scaffold619	65195	93317	1
CGI_10026499	4	scaffold156	377742	429749	-1
CGI_10026610	4	scaffold313	520818	560094	1
CGI_10026858	4	scaffold601	1098885	1117707	1
CGI_10027082	4	scaffold433	569412	652416	1
CGI_10027247	4	scaffold481	830206	860423	1
CGI_10027295	4	scaffold3	612210	632275	1
CGI_10027768	4	scaffold1301	1240763	1264950	-1
CGI_10028913	4	scaffold22	1405457	1427989	-1
CGI_10003902	3	scaffold40164	78139	85181	1
CGI_10003930	3	scaffold40172	5995	45177	1
CGI_10004103	3	scaffold549	30331	63327	1
CGI_10004197	3	scaffold40534	1	46942	1
CGI_10004210	3	scaffold40564	77232	86821	-1
CGI_10004469	3	scaffold1576	70061	87867	-1
CGI_10004649	3	scaffold41034	3581	37441	-1
CGI_10005051	3	scaffold41416	47092	70582	1
CGI_10005111	3	scaffold1757	4841	25520	-1
CGI_10005126	3	scaffold41480	8841	73363	1
CGI_10005137	3	scaffold41466	20923	33174	1
CGI_10005250	3	scaffold1817	9897	45966	-1
CGI_10005452	3	scaffold1419	15962	94471	-1
CGI_10005590	3	scaffold604	6227	40101	-1
CGI_10005645	3	scaffold41806	79076	104282	-1
CGI_10005690	3	scaffold1561	20753	41366	-1
CGI_10006036	3	scaffold42048	85914	101996	1
CGI_10006103	3	scaffold42090	5758	21933	1
CGI_10006120	3	scaffold42112	77445	103825	1
CGI_10006317	3	scaffold42164	44960	54649	1
CGI_10006484	3	scaffold42262	79167	92074	-1
CGI_10006522	3	scaffold42272	32645	52743	1
CGI_10006697	3	scaffold42326	104949	114174	1
CGI_10006707	3	scaffold1829	60358	78282	1
CGI_10006902	3	scaffold42440	51826	113781	1
CGI_10007013	3	scaffold827	118327	152532	-1
CGI_10007241	3	scaffold1509	108521	142226	-1
CGI_10007347	3	scaffold42634	31186	72012	1
CGI_10007352	3	scaffold1871	2307	42384	-1
CGI_10007801	3	scaffold1508	30674	72423	-1
CGI_10007822	3	scaffold1572	133689	143056	1
CGI_10007855	3	scaffold42836	33359	53677	-1
CGI_10008111	3	scaffold694	178698	193167	1
CGI_10008284	3	scaffold574	118356	125174	1
CGI_10008467	3	scaffold43034	6205	20654	-1
CGI_10008674	3	scaffold418	164606	189419	1
CGI_10008825	3	scaffold1404	52291	69988	-1
CGI_10008836	3	scaffold43108	24539	70737	1
CGI_10008897	3	scaffold43134	144623	189907	1
CGI_10008964	3	scaffold43130	158411	196443	-1
CGI_10009092	3	scaffold50	48224	71899	1
CGI_10009327	3	scaffold552	193949	202556	1
CGI_10009387	3	scaffold521	108014	132801	1
CGI_10009436	3	scaffold1100	173681	179724	1
CGI_10009939	3	scaffold1349	108398	116363	1
CGI_10009977	3	scaffold43358	156161	176563	1
CGI_10010010	3	scaffold143	85467	95124	1
CGI_10010015	3	scaffold143	169963	196466	-1
CGI_10010115	3	scaffold1459	242148	251597	-1
CGI_10010140	3	scaffold782	213275	248332	1
CGI_10010174	3	scaffold1704	220503	251055	1
CGI_10010189	3	scaffold930	51525	92930	-1
CGI_10010191	3	scaffold930	116124	138897	-1
CGI_10010523	3	scaffold1723	165477	184292	1
CGI_10010634	3	scaffold1569	93847	109588	1
CGI_10010676	3	scaffold1608	74219	91136	1
